screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
inVEZ6FQc6ftbwg,2021-01-30T10:51:49Z,RT @MissBloomgr: Ελισάβετ Μουτάφη | Η πρώην σύντροφος του Γιώργου Κιμούλη στηρίζει δημόσια τη Ζέτα Δούκα https://t.co/FATR4qdWKX,,MissBloomgr,αγαπαο την μουσικη,Twitter Web App,el,1355468754612858881
MissBloomgr,2021-01-30T10:47:10Z,Ελισάβετ Μουτάφη | Η πρώην σύντροφος του Γιώργου Κιμούλη στηρίζει δημόσια τη Ζέτα Δούκα https://t.co/FATR4qdWKX,,,"To Missbloom αναδεικνύει τις κορυφαίες τάσεις, τις τελευταίες ειδήσεις και τις πιο σημαντικές στιγμές στη γυναικεία μόδα, την ομορφιά και την ενημέρωση.",Echobox,el,1355467585295437824
katkhrol62,2021-01-30T10:38:39Z,RT @Kostas_Thoneick: Βλέπω πάλι τώρα τη Ζέτα Δούκα πραγματικά η εξομολόγηση της ήταν κατι παραπάνω απο συγκλονιστική μου δημιουργεί κόμπο στο στομάχι μόνο σεβασμός στην κοπέλα μόνο σεβασμός 🙌🏻❤️ #elaxamogela,,Kostas_Thoneick,,Twitter for Android,el,1355465441750245379
alboradatv,2021-01-30T10:37:06Z,"RT @lammar284: Πριν αρχίσουμε να βρίζουμε ομαδικά τον Ιάσωνα, με αφορμή #tokafetisxaras, ας πούμε ένα μεγάλο μπράβο στο Νίκο Ψαρρά για τη στήριξή του στη  Ζέτα Δούκα στην καταγγελία της προς στον Κιμούλη! https://t.co/7bMSQ8yXOj",,lammar284,🎀♊ Οποιος μου τραγουδήσει rancheras τον παντρεύομαι... Τέλος! (Το nickname είναι απο μεξικάνικο),Twitter for Android,el,1355465053957455875
damigk,2021-01-30T10:36:39Z,"@makisnodaros @KostasVaxevanis Ρε συ μπορείς να μου πεις γτ δεν σχολιάζει με έρευνα το θέμα ζετα δούκα ???? Ευχαριστώ 

( ο Πρεντετερης είναι άθλιος  έτσι κ αλλιώς )",makisnodaros,,Δεν θα με βρεις ποτε. Κάποτε θα γράψω βιβλίο με τίτλο «Έρωτας στα χρόνια του τουιτερ». ΑΛΛΗΝΗΣ.,Twitter for iPhone,el,1355464940363141122
maraki_sun,2021-01-30T10:18:53Z,"RT @DanaiF4: Στηρίζουν τις επώνυμες που βγαίνουν ,ενώ ξέρουν και άσημες κακοποιημενες στην γειτονιά τους ,στην δουλειά τους στο σόι τους.Και κάνουν ότι δεν ξέρουν τίποτα ,γιατί δεν θέλει να πάρει μέρος.Υποκρισία λέγεται.Να το θυμάστε όλοι εσείς οι δικαστές. #elaxamogela #MeToo #Ζετα_Δουκα",,DanaiF4,Κουμπαράκι μου τρελό κι αγαπημένο η @supermanria,Twitter for Android,el,1355460466873565190
exbrunette_,2021-01-30T10:15:16Z,"RT @Aspondi94: Μετά τον Κιμούλη, ο Σπυρόπουλος που έπαιζε το πουλί του την ώρα των προβών μπροστά στις ηθοποιούς. ΕΛΑ ΝΑ ΞΕΒΡΩΜΙΖΕΙ Ο ΤΟΠΟΣ. ΕΛΑ ΝΑ ΦΟΒΟΎΝΤΑΙ ΤΑ ΣΙΧΑΜΑΤΑ. #eutixeite #κιμουλης #Ζετα_Δουκα #metoogr",,Aspondi94,"🧚🏼‍♀️Ταυρινα με σκορπίνα, προσπαθώ να έχω positive vibes όταν δεν παθαίνω mental breakdown. Πεινάω συνέχεια.💁🏽‍♀️",Twitter for iPhone,el,1355459559561822210
Kostas_Thoneick,2021-01-30T10:06:27Z,Ωραίος ο Μπιμπιλας «δεν ειναι άποψη» τ να λέει η Διαβάτη δν ξέρω τη Ζετα Δούκα τον έναν κ τον άλλο κ εν παση περίπτωσει ακόμα κ να μην τους ξέρει(πράγμα ΑΠΙΘΑΝΟ) καλύτερα να σιωπήσει απ το να εκθέτει ετσι τον εαυτό της λέγοντας μπούρδες σε ενα θέμα τοσο σοβαρό!!    #elaxamogela,,,Προεδρος #katourlides || we are one || https://t.co/dgiMWXvIvT,Twitter for iPhone,el,1355457337243410434
marilouZ10,2021-01-30T10:06:18Z,"RT @Aspondi94: Μετά τον Κιμούλη, ο Σπυρόπουλος που έπαιζε το πουλί του την ώρα των προβών μπροστά στις ηθοποιούς. ΕΛΑ ΝΑ ΞΕΒΡΩΜΙΖΕΙ Ο ΤΟΠΟΣ. ΕΛΑ ΝΑ ΦΟΒΟΎΝΤΑΙ ΤΑ ΣΙΧΑΜΑΤΑ. #eutixeite #κιμουλης #Ζετα_Δουκα #metoogr",,Aspondi94,#teamDalaka👊❤ #teamlioliou🎤,Twitter Web App,el,1355457302061576192
marilouZ10,2021-01-30T10:02:06Z,RT @Kostas_Thoneick: Βλέπω πάλι τώρα τη Ζέτα Δούκα πραγματικά η εξομολόγηση της ήταν κατι παραπάνω απο συγκλονιστική μου δημιουργεί κόμπο στο στομάχι μόνο σεβασμός στην κοπέλα μόνο σεβασμός 🙌🏻❤️ #elaxamogela,,Kostas_Thoneick,#teamDalaka👊❤ #teamlioliou🎤,Twitter Web App,el,1355456245495377922
eniiii2,2021-01-30T09:51:18Z,"RT @lammar284: Πριν αρχίσουμε να βρίζουμε ομαδικά τον Ιάσωνα, με αφορμή #tokafetisxaras, ας πούμε ένα μεγάλο μπράβο στο Νίκο Ψαρρά για τη στήριξή του στη  Ζέτα Δούκα στην καταγγελία της προς στον Κιμούλη! https://t.co/7bMSQ8yXOj",,lammar284,Παναθηναϊκός για Πάντα!!!!! ☘☘☘☘☘☘☘☘☘☘☘☘ Never grow up it SUCKS😉,Twitter for Android,el,1355453526684676098
